LU Decomposition;;;;;;;;;;;;;;;;;
Seed;3036463056;;;;;;;;;;;;;;;;
Number of replications for each size of matrix;100;;;;;;;;;;;;;;;;
Minimum matrix size;100;Maximum matrix size;1000;;;;;;;;;;;;;;
Zero probability;0;;;;;;;;;;;;;;;;
Minimum possible generated value;-0,1;Maximum possible generated value;0,1;;;;;;;;;;;;;;
Data type of generated values;Double;;;;;;;;;;;;;;;;
Matrix size;100;200;300;400;500;600;700;800;900;1000;;;;;;;
Average time;0,000251965;0,001723922;0,005913074;0,01462095;0,029776022;0,051146242;0,082353876;0,123846918;0,178348187;0,253425075;;;;;;;
95% Confidence interval (lower limit);0,000249314;0,001716376;0,005888761;0,014595632;0,029741004;0,051081125;0,08222361;0,123644901;0,178159877;0,252723504;;;;;;;
95% Confidence interval (upper limit);0,000254616;0,001731468;0,005937387;0,014646268;0,02981104;0,051211359;0,082484142;0,124048935;0,178536497;0,254126646;;;;;;;
;;;;;;;;;;;;;;;;;
LU Decomposition;;;;;;;;;;;;;;;;;
Seed;3036463056;;;;;;;;;;;;;;;;
Number of replications for each size of matrix;100;;;;;;;;;;;;;;;;
Minimum matrix size;100;Maximum matrix size;1000;;;;;;;;;;;;;;
Zero probability;0,25;;;;;;;;;;;;;;;;
Minimum possible generated value;-0,1;Maximum possible generated value;0,1;;;;;;;;;;;;;;
Data type of generated values;Double;;;;;;;;;;;;;;;;
Matrix size;100;200;300;400;500;600;700;800;900;1000;;;;;;;
Average time;0,000210095;0,001557407;0,005624661;0,014061111;0,028841122;0,049859307;0,080437926;0,122281553;0,176317982;0,25290948;;;;;;;
95% Confidence interval (lower limit);0,000206533;0,001552475;0,005613213;0,014038074;0,028802444;0,049786346;0,080351411;0,122142117;0,176099979;0,252630867;;;;;;;
95% Confidence interval (upper limit);0,000213657;0,001562339;0,005636109;0,014084148;0,0288798;0,049932268;0,080524441;0,122420989;0,176535985;0,253188093;;;;;;;
;;;;;;;;;;;;;;;;;
LU Decomposition;;;;;;;;;;;;;;;;;
Seed;3036463056;;;;;;;;;;;;;;;;
Number of replications for each size of matrix;100;;;;;;;;;;;;;;;;
Minimum matrix size;100;Maximum matrix size;1000;;;;;;;;;;;;;;
Zero probability;0,5;;;;;;;;;;;;;;;;
Minimum possible generated value;-0,1;Maximum possible generated value;0,1;;;;;;;;;;;;;;
Data type of generated values;Double;;;;;;;;;;;;;;;;
Matrix size;100;200;300;400;500;600;700;800;900;1000;;;;;;;
Average time;0,000210404;0,001558282;0,005634637;0,014014453;0,028744899;0,04972704;0,080507196;0,12207646;0,177185625;0,255739878;;;;;;;
95% Confidence interval (lower limit);0,000207628;0,001553655;0,005616609;0,013996784;0,028705984;0,049664788;0,080394932;0,121947992;0,176986713;0,254772808;;;;;;;
95% Confidence interval (upper limit);0,00021318;0,001562909;0,005652665;0,014032122;0,028783814;0,049789292;0,08061946;0,122204928;0,177384537;0,256706948;;;;;;;
;;;;;;;;;;;;;;;;;
LU Decomposition;;;;;;;;;;;;;;;;;
Seed;3036463056;;;;;;;;;;;;;;;;
Number of replications for each size of matrix;100;;;;;;;;;;;;;;;;
Minimum matrix size;100;Maximum matrix size;1000;;;;;;;;;;;;;;
Zero probability;0,75;;;;;;;;;;;;;;;;
Minimum possible generated value;-0,1;Maximum possible generated value;0,1;;;;;;;;;;;;;;
Data type of generated values;Double;;;;;;;;;;;;;;;;
Matrix size;100;200;300;400;500;600;700;800;900;1000;;;;;;;
Average time;0,000210302;0,001557159;0,005620202;0,014057552;0,028818446;0,049994037;0,080418563;0,122475897;0,176903446;0,256571865;;;;;;;
95% Confidence interval (lower limit);0,000207816;0,001552903;0,005606676;0,014037377;0,028781023;0,04991149;0,080310037;0,122227796;0,176708763;0,255624223;;;;;;;
95% Confidence interval (upper limit);0,000212788;0,001561415;0,005633728;0,014077727;0,028855869;0,050076584;0,080527089;0,122723998;0,177098129;0,257519507;;;;;;;
